group_id,transition_name,SPI,ISR,Ecc_X_1,Ecc_Y_1,Ecc_X_2,Ecc_Y_2,from_pga,to_pga,pga_ratio,log_pga_ratio,from_log_IDR_frame,from_log_IDR_masonry,from_damage_frame,from_damage_masonry,from_damage_global,transition_stage,from_IDR_frame,from_IDR_masonry,to_IDR_frame,to_IDR_masonry,to_log_IDR_frame,to_log_IDR_masonry,delta_log_IDR_frame,delta_log_IDR_masonry,target_log_delta_frame,target_log_delta_masonry,to_damage_frame,to_damage_masonry,to_damage_global,delta_damage_frame,delta_damage_masonry,delta_damage_global,to_score_global,from_score_global
0,low_to_mid,6,1.0,0.0,0.0,0.0,0.0,18.0,50.0,2.7777777777777777,1.0216512475319812,-8.37896866213953,-8.3198010463501,0,0,0,0,0.0002296466666666,0.0002436443333333,0.0007636755555555,0.00070975,-7.177367524496957,-7.250597762611194,1.2016011376425717,1.069203283738907,0.18365494880039732,0.06691377648900962,0,1,1,0,1,1,1.4355859375,0.60911083333325
0,mid_to_high,6,1.0,0.0,0.0,0.0,0.0,50.0,125.0,2.5,0.9162907318741551,-7.177367524496957,-7.250597762611194,0,1,1,1,0.0007636755555555,0.00070975,0.002682,0.00194603,-5.92119249412265,-6.241963879098715,1.2561750303743067,1.0086338835124786,0.22807141373050233,0.008596824695129816,2,2,2,2,1,1,2.2146934285714286,1.4355859375
1,low_to_mid,6,1.0,0.0,0.0,0.0,0.0731,18.0,50.0,2.7777777777777777,1.0216512475319812,-8.346588153898198,-8.288197464203316,0,0,0,0,0.0002372044444444,0.0002514673333333,0.0007715222222222,0.0007353,-7.167145082658579,-7.215231978762097,1.179443071239618,1.0729654854412178,0.16504235353726357,0.07042629672041714,0,1,1,0,1,1,1.4715156249999999,0.6286683333332499
1,mid_to_high,6,1.0,0.0,0.0,0.0,0.0731,50.0,125.0,2.5,0.9162907318741551,-7.167145082658579,-7.215231978762097,0,1,1,1,0.0007715222222222,0.0007353,0.0026244,0.00194938,-5.942902980493551,-6.24024390568084,1.2242421021650278,0.9749880730812569,0.20232196041756773,-0.025330040796282826,2,2,2,2,1,1,2.215554857142857,1.4715156249999999
2,low_to_mid,6,1.0,0.0,0.0,0.0,0.1472,18.0,50.0,2.7777777777777777,1.0216512475319812,-8.36547403678068,-8.317779649477039,0,0,0,0,0.0002327666666666,0.0002441373333333,0.0007689377777777,0.0007205366666666,-7.170500504895216,-7.23551425323443,1.194973531885465,1.0822653962426088,0.17812403608836014,0.07905643338115892,0,1,1,0,1,1,1.4507546874999062,0.61034333333325
2,mid_to_high,6,1.0,0.0,0.0,0.0,0.1472,50.0,125.0,2.5,0.9162907318741551,-7.170500504895216,-7.23551425323443,0,1,1,1,0.0007689377777777,0.0007205366666666,0.0026154888888888,0.00195729,-5.94630424334126,-6.23619441554768,1.2241962615539563,0.9993198376867496,0.20228451564317101,-0.0006803937285758647,2,2,2,2,1,1,2.2175888571428573,1.4507546874999062
3,low_to_mid,6,1.0,0.0,0.0,0.0,0.2146,18.0,50.0,2.7777777777777777,1.0216512475319812,-8.488425424722482,-8.352762673501843,0,0,0,0,0.0002058371111111,0.0002357443333333,0.0006777555555555,0.0007135233333333,-7.296723872561921,-7.245295418942579,1.1917015521605616,1.1074672545592636,0.1753821615897017,0.1020756555106634,0,1,1,0,1,1,1.440892187499953,0.58936083333325
3,mid_to_high,6,1.0,0.0,0.0,0.0,0.2146,50.0,125.0,2.5,0.9162907318741551,-7.296723872561921,-7.245295418942579,0,1,1,1,0.0006777555555555,0.0007135233333333,0.0025426,0.0020647333333333,-5.974568099448252,-6.182754197308303,1.3221557731136684,1.0625412216342764,0.2792635658900899,0.06066341789611739,2,2,2,2,1,1,2.2452171428571344,1.440892187499953
4,low_to_mid,6,1.0,0.0,0.0,0.0256,0.1236,18.0,50.0,2.7777777777777777,1.0216512475319812,-8.335288388118625,-8.349803393880174,0,0,0,0,0.0002399,0.000236443,0.0007402711111111,0.0006980366666666,-7.208494072495477,-7.267238925540634,1.126794315623148,1.0825644683395408,0.11937671229946445,0.07933273416925102,0,1,1,0,1,1,1.4191140624999061,0.5911075
4,mid_to_high,6,1.0,0.0,0.0,0.0256,0.1236,50.0,125.0,2.5,0.9162907318741551,-7.208494072495477,-7.267238925540634,0,1,1,1,0.0007402711111111,0.0006980366666666,0.0026792666666666,0.00194673,-5.922212153744216,-6.241604237092763,1.2862819187512617,1.0256346884478713,0.2517558232139207,0.025311629201875768,2,2,2,2,1,1,2.2148734285714284,1.4191140624999061
5,low_to_mid,6,1.0,0.0,0.0,0.0342,0.0861,18.0,50.0,2.7777777777777777,1.0216512475319812,-8.33651186795898,-8.335380097200806,0,0,0,0,0.0002396066666666,0.000239878,0.0007422733333333,0.0007001333333333,-7.205793008865296,-7.264239764868727,1.1307188590936836,1.0711403323320794,0.12285358895119888,0.06872381213700476,0,1,1,0,1,1,1.4220624999999532,0.599695
5,mid_to_high,6,1.0,0.0,0.0,0.0342,0.0861,50.0,125.0,2.5,0.9162907318741551,-7.205793008865296,-7.264239764868727,0,1,1,1,0.0007422733333333,0.0007001333333333,0.0027897111111111,0.0018987033333333,-5.881817232914578,-6.266584081929307,1.3239757759507171,0.9976556829394201,0.2806391612377104,-0.0023470692740355176,2,2,2,2,1,1,2.202523714285706,1.4220624999999532
6,low_to_mid,6,1.0,0.0,0.0,0.048,0.2012,18.0,50.0,2.7777777777777777,1.0216512475319812,-8.42102984031289,-8.364573683234353,0,0,0,0,0.0002201877777777,0.0002329763333333,0.00071174,0.0007271433333333,-7.247797881781891,-7.226386942596432,1.1732319585309985,1.138186740637921,0.15976229823002658,0.12943641770585362,0,1,1,0,1,1,1.460045312499953,0.58244083333325
6,mid_to_high,6,1.0,0.0,0.0,0.048,0.2012,50.0,125.0,2.5,0.9162907318741551,-7.247797881781891,-7.226386942596432,0,1,1,1,0.00071174,0.0007271433333333,0.0026428,0.00212338,-5.935916317808544,-6.15474612028571,1.3118815639733477,1.0716408223107219,0.271462415085415,0.06919095269091481,2,2,2,2,1,1,2.260297714285714,1.460045312499953
7,low_to_mid,6,1.0,0.0,0.0,0.0682,0.0,18.0,50.0,2.7777777777777777,1.0216512475319812,-8.48664674329293,-8.275356124374913,0,0,0,0,0.0002062035555555,0.0002547173333333,0.0007285088888888,0.0007579466666666,-7.224510730771607,-7.1848975353954785,1.2621360125213215,1.090458588979434,0.23280553368514495,0.08659833159593917,0,1,1,0,1,1,1.503362499999906,0.63679333333325
7,mid_to_high,6,1.0,0.0,0.0,0.0682,0.0,50.0,125.0,2.5,0.9162907318741551,-7.224510730771607,-7.1848975353954785,0,1,1,1,0.0007285088888888,0.0007579466666666,0.0026384666666666,0.0019226066666666,-5.937557338639097,-6.254073374811991,1.2869533921325105,0.930824160583487,0.25227771360898055,-0.07168489109726764,2,2,2,2,1,1,2.208670285714269,1.503362499999906
8,low_to_mid,6,1.0,0.0,0.0,0.0872,0.0,18.0,50.0,2.7777777777777777,1.0216512475319812,-8.35682379272799,-8.347735970957446,0,0,0,0,0.0002347888888888,0.0002369323333333,0.0007588422222222,0.00072558,-7.1837166780379045,-7.228539222939035,1.173107114690086,1.1191967480184108,0.15965588237355027,0.11261123873447239,0,1,1,0,1,1,1.457846875,0.59233083333325
8,mid_to_high,6,1.0,0.0,0.0,0.0872,0.0,50.0,125.0,2.5,0.9162907318741551,-7.1837166780379045,-7.228539222939035,0,1,1,1,0.0007588422222222,0.00072558,0.0027295333333333,0.0019506933333333,-5.903624624568157,-6.239570414045841,1.2800920534697473,0.9889688088931944,0.24693199211887873,-0.01109248588184042,2,2,2,2,1,1,2.215892571428563,1.457846875
9,low_to_mid,6,1.0,0.0,0.0,0.1126,0.0,18.0,50.0,2.7777777777777777,1.0216512475319812,-8.551895063263032,-8.235866270227664,0,0,0,0,0.0001931786666666,0.0002649773333333,0.0007070066666666,0.0007603833333333,-7.254470462597873,-7.181687865878873,1.2974246006651597,1.0541784043487914,0.2603812231286584,0.052761699883658496,0,1,1,0,1,1,1.5067890624999531,0.6624433333332499
9,mid_to_high,6,1.0,0.0,0.0,0.1126,0.0,50.0,125.0,2.5,0.9162907318741551,-7.254470462597873,-7.181687865878873,0,1,1,1,0.0007070066666666,0.0007603833333333,0.0024420444444444,0.00204146,-6.014919703441061,-6.194090040832796,1.2395507591568127,0.9875978250460767,0.21474902297113468,-0.012479723775509308,1,2,2,1,1,1,2.2392325714285715,1.5067890624999531
10,low_to_mid,6,1.0,0.0,0.0766,0.0,0.0,18.0,50.0,2.7777777777777777,1.0216512475319812,-8.372198586518625,-8.330537982914853,0,0,0,0,0.0002312066666666,0.0002410423333333,0.0007783066666666,0.00070188,-7.158389938358372,-7.261748108721339,1.2138086481602537,1.0687898741935142,0.19376305925850829,0.06652704975977643,0,1,1,0,1,1,1.4245187499999998,0.6026058333332499
10,mid_to_high,6,1.0,0.0,0.0766,0.0,0.0,50.0,125.0,2.5,0.9162907318741551,-7.158389938358372,-7.261748108721339,0,1,1,1,0.0007783066666666,0.00070188,0.0026859555555555,0.0019378466666666,-5.919718727721079,-6.246177888010744,1.2386712106372921,1.015570220710595,0.2140392007137495,0.015450248550231789,2,2,2,2,1,1,2.2125891428571256,1.4245187499999998
11,low_to_mid,6,1.0,0.0,0.1357,0.0,0.0,18.0,50.0,2.7777777777777777,1.0216512475319812,-8.435259964209425,-8.328434066963858,0,0,0,0,0.0002170766666666,0.00024155,0.0007173066666666,0.0006974166666666,-7.2400071007629885,-7.268127525719496,1.1952528634464377,1.0603065412443626,0.1783577642095036,0.05855805616982246,0,1,1,0,1,1,1.4182421874999063,0.6038749999999999
11,mid_to_high,6,1.0,0.0,0.1357,0.0,0.0,50.0,125.0,2.5,0.9162907318741551,-7.2400071007629885,-7.268127525719496,0,1,1,1,0.0007173066666666,0.0006974166666666,0.0026406444444444,0.0019224666666666,-5.936732283869269,-6.254146195269717,1.3032748168937194,1.0139813304497782,0.26488018679724024,0.013884493214263851,2,2,2,2,1,1,2.2086342857142687,1.4182421874999063
12,low_to_mid,6,1.0,0.0,0.2221,0.0,0.0,18.0,50.0,2.7777777777777777,1.0216512475319812,-8.508957200491523,-8.296865601201512,0,0,0,0,0.000201654,0.000249297,0.0006736711111111,0.0007196966666666,-7.302768531856513,-7.23668073102078,1.2061886686350105,1.0601848701807317,0.18746552772351177,0.05844329874792591,0,1,1,0,1,1,1.449573437499906,0.6232424999999999
12,mid_to_high,6,1.0,0.0,0.2221,0.0,0.0,50.0,125.0,2.5,0.9162907318741551,-7.302768531856513,-7.23668073102078,0,1,1,1,0.0006736711111111,0.0007196966666666,0.0026182222222222,0.00185453,-5.945259732658924,-6.2901239842983925,1.3575087991975887,0.9465567467223873,0.3056512547184551,-0.05492435585378331,2,2,2,2,1,1,2.1911648571428572,1.449573437499906
13,low_to_mid,6,1.0,0.0709,0.0789,0.0,0.0,18.0,50.0,2.7777777777777777,1.0216512475319812,-8.414485190567687,-8.280763624710454,0,0,0,0,0.0002216335555555,0.0002533436666666,0.0007000555555555,0.0007069766666666,-7.264350860990825,-7.254512895912747,1.1501343295768616,1.0262507287977074,0.1398787438813029,0.02591209194035829,0,1,1,0,1,1,1.431685937499906,0.6333591666665
13,mid_to_high,6,1.0,0.0709,0.0789,0.0,0.0,50.0,125.0,2.5,0.9162907318741551,-7.264350860990825,-7.254512895912747,0,1,1,1,0.0007000555555555,0.0007069766666666,0.0026654,0.00188048,-5.927401138818648,-6.27622821557973,1.3369497221721773,0.9782846803330164,0.2903906924554874,-0.021954567119013373,2,2,2,2,1,1,2.1978377142857144,1.431685937499906
14,low_to_mid,6,1.0,0.0728,0.0,0.0,0.0,18.0,50.0,2.7777777777777777,1.0216512475319812,-8.387667031259973,-8.275237045210158,0,0,0,0,0.0002276577777777,0.0002547476666666,0.0006972044444444,0.0007144533333333,-7.268431869633621,-7.2439928764666455,1.119235161626352,1.0312441687435125,0.11264556062541708,0.03076600409902124,0,1,1,0,1,1,1.442199999999953,0.6368691666665
14,mid_to_high,6,1.0,0.0728,0.0,0.0,0.0,50.0,125.0,2.5,0.9162907318741551,-7.268431869633621,-7.2439928764666455,0,1,1,1,0.0006972044444444,0.0007144533333333,0.0026363111111111,0.0019316233333333,-5.938374645364158,-6.249394524242186,1.3300572242694622,0.9945983522244596,0.2852219670745936,-0.005416289424709593,2,2,2,2,1,1,2.2109888571428487,1.442199999999953
15,low_to_mid,6,1.0,0.1122,0.0,0.0,0.0,18.0,50.0,2.7777777777777777,1.0216512475319812,-8.401417106611106,-8.244623487739776,0,0,0,0,0.0002245488888888,0.000262667,0.0007222666666666,0.0007111033333333,-7.233116142848732,-7.248692803512592,1.1683009637623738,0.9959306842271849,0.1555505256677621,-0.004077617968736755,0,1,1,0,1,1,1.437489062499953,0.6566675
15,mid_to_high,6,1.0,0.1122,0.0,0.0,0.0,50.0,125.0,2.5,0.9162907318741551,-7.233116142848732,-7.248692803512592,0,1,1,1,0.0007222666666666,0.0007111033333333,0.0027129111111111,0.0020763,-5.909733009899928,-6.177167815448347,1.3233831329488037,1.0715249880642452,0.2801914372741623,0.0690828562981591,2,2,2,2,1,1,2.2481914285714284,1.437489062499953
16,low_to_mid,6,1.0,0.1343,0.1509,0.0,0.0,18.0,50.0,2.7777777777777777,1.0216512475319812,-8.48178207600179,-8.276625001379646,0,0,0,0,0.0002072091111111,0.0002543943333333,0.0007033577777777,0.00069126,-7.259644865632047,-7.276994538686257,1.2221372103697445,0.9996304626933881,0.20060113789105222,-0.0003696056023481556,0,1,1,0,1,1,1.409584375,0.63598583333325
16,mid_to_high,6,1.0,0.1343,0.1509,0.0,0.0,50.0,125.0,2.5,0.9162907318741551,-7.259644865632047,-7.276994538686257,0,1,1,1,0.0007033577777777,0.00069126,0.0027192444444444,0.0020398966666666,-5.907401215039418,-6.194856126003753,1.3522436505926285,1.0821384126825044,0.3017651763193877,0.0789390952396103,2,2,2,2,1,1,2.2388305714285544,1.409584375
17,low_to_mid,6,1.0,0.1838,0.0,0.0,0.0,18.0,50.0,2.7777777777777777,1.0216512475319812,-8.3581213072701,-8.248495181376303,0,0,0,0,0.0002344844444444,0.000261652,0.0007863511111111,0.0007376666666666,-7.148107159030382,-7.212018506581424,1.2100141482397186,1.0364766747948784,0.190632052300388,0.03582714882463922,0,1,1,0,1,1,1.474843749999906,0.65413
