"SPI","ISR","Ecc_X_1","Ecc_Y_1","Ecc_X_2","Ecc_Y_2","PGA","IDR_frame","IDR_masonry"
"6","1","0.0709","0.0789","0","0","125","0.0026654","0.00188048"
"6","1","0.0709","0.0789","0","0","18","0.000221633555555556","0.000253343666666667"
"6","1","0.0709","0.0789","0","0","50","0.000700055555555556","0.000706976666666667"
"6","1","0.0728","0","0","0","125","0.00263631111111111","0.00193162333333333"
"6","1","0.0728","0","0","0","18","0.000227657777777778","0.000254747666666667"
"6","1","0.0728","0","0","0","50","0.000697204444444444","0.000714453333333333"
"6","1","0.1122","0","0","0","125","0.00271291111111111","0.0020763"
"6","1","0.1122","0","0","0","18","0.000224548888888889","0.000262667"
"6","1","0.1122","0","0","0","50","0.000722266666666667","0.000711103333333333"
"6","1","0.1343","0.1509","0","0","125","0.00271924444444444","0.00203989666666667"
"6","1","0.1343","0.1509","0","0","18","0.000207209111111111","0.000254394333333333"
"6","1","0.1343","0.1509","0","0","50","0.000703357777777778","0.00069126"
"6","1","0.1838","0","0","0","125","0.00274048888888889","0.00202651"
"6","1","0.1838","0","0","0","18","0.000234484444444444","0.000261652"
"6","1","0.1838","0","0","0","50","0.000786351111111111","0.000737666666666667"
"6","1","0.2592","0.3085","0","0","125","0.00263117777777778","0.00185497666666667"
"6","1","0.2592","0.3085","0","0","18","0.000222384444444444","0.000245668"
"6","1","0.2592","0.3085","0","0","50","0.000711295555555556","0.000698006666666667"
"6","1","0","0.0766","0","0","125","0.00268595555555556","0.00193784666666667"
"6","1","0","0.0766","0","0","18","0.000231206666666667","0.000241042333333333"
"6","1","0","0.0766","0","0","50","0.000778306666666667","0.00070188"
"6","1","0","0.1357","0","0","125","0.00264064444444444","0.00192246666666667"
"6","1","0","0.1357","0","0","18","0.000217076666666667","0.00024155"
"6","1","0","0.1357","0","0","50","0.000717306666666667","0.000697416666666667"
"6","1","0","0.2221","0","0","125","0.00261822222222222","0.00185453"
"6","1","0","0.2221","0","0","18","0.000201654","0.000249297"
"6","1","0","0.2221","0","0","50","0.000673671111111111","0.000719696666666667"
"6","1","0","0","0.0256","0.1236","125","0.00267926666666667","0.00194673"
"6","1","0","0","0.0256","0.1236","18","0.0002399","0.000236443"
"6","1","0","0","0.0256","0.1236","50","0.000740271111111111","0.000698036666666667"
"6","1","0","0","0.0342","0.0861","125","0.00278971111111111","0.00189870333333333"
"6","1","0","0","0.0342","0.0861","18","0.000239606666666667","0.000239878"
"6","1","0","0","0.0342","0.0861","50","0.000742273333333333","0.000700133333333333"
"6","1","0","0","0.048","0.2012","125","0.0026428","0.00212338"
"6","1","0","0","0.048","0.2012","18","0.000220187777777778","0.000232976333333333"
"6","1","0","0","0.048","0.2012","50","0.00071174","0.000727143333333333"
"6","1","0","0","0.0682","0","125","0.00263846666666667","0.00192260666666667"
"6","1","0","0","0.0682","0","18","0.000206203555555556","0.000254717333333333"
"6","1","0","0","0.0682","0","50","0.000728508888888889","0.000757946666666667"
"6","1","0","0","0.0872","0","125","0.00272953333333333","0.00195069333333333"
"6","1","0","0","0.0872","0","18","0.000234788888888889","0.000236932333333333"
"6","1","0","0","0.0872","0","50","0.000758842222222222","0.00072558"
"6","1","0","0","0.1126","0","125","0.00244204444444444","0.00204146"
"6","1","0","0","0.1126","0","18","0.000193178666666667","0.000264977333333333"
"6","1","0","0","0.1126","0","50","0.000707006666666667","0.000760383333333333"
"6","1","0","0","0","0.0731","125","0.0026244","0.00194938"
"6","1","0","0","0","0.0731","18","0.000237204444444444","0.000251467333333333"
"6","1","0","0","0","0.0731","50","0.000771522222222222","0.0007353"
"6","1","0","0","0","0.1472","125","0.00261548888888889","0.00195729"
"6","1","0","0","0","0.1472","18","0.000232766666666667","0.000244137333333333"
"6","1","0","0","0","0.1472","50","0.000768937777777778","0.000720536666666667"
"6","1","0","0","0","0.2146","125","0.0025426","0.00206473333333333"
"6","1","0","0","0","0.2146","18","0.000205837111111111","0.000235744333333333"
"6","1","0","0","0","0.2146","50","0.000677755555555555","0.000713523333333333"
"6","1","0","0","0","0","125","0.002682","0.00194603"
"6","1","0","0","0","0","18","0.000229646666666667","0.000243644333333333"
"6","1","0","0","0","0","50","0.000763675555555556","0.00070975"
"6","2.5","0.0407","0.072","0","0","125","0.0046186","0.00134099"
"6","2.5","0.0407","0.072","0","0","18","0.000439133333333333","0.000178195"
"6","2.5","0.0407","0.072","0","0","50","0.00140024444444444","0.000494373333333333"
"6","2.5","0.0413","0","0","0","125","0.00462731111111111","0.00133859"
"6","2.5","0.0413","0","0","0","18","0.00044012","0.000179640666666667"
"6","2.5","0.0413","0","0","0","50","0.00140010444444444","0.000487553333333333"
"6","2.5","0.0805","0.1123","0","0","125","0.00458291111111111","0.00149524333333333"
"6","2.5","0.0805","0.1123","0","0","18","0.000435751111111111","0.000189588666666667"
"6","2.5","0.0805","0.1123","0","0","50","0.00141225333333333","0.000568003333333333"
"6","2.5","0.0832","0","0","0","125","0.00462526666666667","0.00151891666666667"
"6","2.5","0.0832","0","0","0","18","0.000443995555555556","0.000194695666666667"
"6","2.5","0.0832","0","0","0","50","0.00140294666666667","0.00059011"
"6","2.5","0.1346","0","0","0","125","0.00464008888888889","0.00148285666666667"
